A1	VAL='종류'
J29	VAL=6.34
K29	VAL=6.68
L29	VAL=6.954
M29	VAL=7.196
N29	VAL=7.343
O29	VAL=7.871
P29	VAL=8.109
Q29	VAL=8.302
R29	VAL='-'
S29	VAL='-'
C30	VAL='금융BBB0'
D30	VAL=5.418
E30	VAL=5.954
F30	VAL=6.233
G30	VAL=6.172
H30	VAL=6.298
I30	VAL=6.932
J30	VAL=7.264
K30	VAL=7.604
L30	VAL=7.884
M30	VAL=8.239
N30	VAL=8.387
O30	VAL=9.153
P30	VAL=9.455
Q30	VAL=9.867
R30	VAL='-'
S30	VAL='-'
C31	VAL='금융BBB-'
D31	VAL=6.821
E31	VAL=7.292
F31	VAL=7.613
G31	VAL=7.517
H31	VAL=7.653
I31	VAL=8.307
J31	VAL=8.651
K31	VAL=9.012
L31	VAL=9.298
M31	VAL=9.722
N31	VAL=9.87
O31	VAL=10.538
P31	VAL=10.835
Q31	VAL=11.202
R31	VAL='-'
S31	VAL='-'
C32	VAL='회사채AAA'
D32	VAL=2.93
E32	VAL=2.976
F32	VAL=2.995
G32	VAL=3.035
H32	VAL=3.037
I32	VAL=3.155
J32	VAL=3.203
K32	VAL=3.307
L32	VAL=3.387
M32	VAL=3.561
N32	VAL=3.636
O32	VAL=3.916
P32	VAL=4.079
Q32	VAL=4.297
R32	VAL='-'
S32	VAL='-'
C33	VAL='회사채AA+'
D33	VAL=2.992
E33	VAL=3.038
F33	VAL=3.066
G33	VAL=3.096
H33	VAL=3.11
I33	VAL=3.234
J33	VAL=3.282
K33	VAL=3.404
L33	VAL=3.469
M33	VAL=3.62
N33	VAL=3.738
O33	VAL=4.209
P33	VAL=4.442
Q33	VAL=4.681
R33	VAL='-'
S33	VAL='-'
C34	VAL='회사채AA0'
D34	VAL=3.015
E34	VAL=3.056
F34	VAL=3.08
G34	VAL=3.122
H34	VAL=3.133
I34	VAL=3.253
J34	VAL=3.305
K34	VAL=3.433
L34	VAL=3.503
M34	VAL=3.688
N34	VAL=3.833
O34	VAL=4.548
P34	VAL=5.011
Q34	VAL=5.26
R34	VAL='-'
S34	VAL='-'
C35	VAL='회사채AA-'
D35	VAL=3.035
E35	VAL=3.081
F35	VAL=3.118
G35	VAL=3.16
H35	VAL=3.166
I35	VAL=3.299
J35	VAL=3.347
K35	VAL=3.477
L35	VAL=3.574
M35	VAL=3.789
N35	VAL=4.043
O35	VAL=4.914
P35	VAL=5.466
Q35	VAL=5.792
R35	VAL='-'
S35	VAL='-'
C36	VAL='회사채A+'
D36	VAL=3.072
E36	VAL=3.11
F36	VAL=3.211
G36	VAL=3.299
H36	VAL=3.41
I36	VAL=3.619
J36	VAL=3.714
K36	VAL=3.894
L36	VAL=4.12
M36	VAL=4.5
N36	VAL=4.75
O36	VAL=5.491
P36	VAL=5.862
Q36	VAL=6.226
R36	VAL='-'
S36	VAL='-'
C37	VAL='회사채A0'
D37	VAL=3.176
E37	VAL=3.231
F37	VAL=3.354
G37	VAL=3.447
H37	VAL=3.576
I37	VAL=3.787
J37	VAL=3.91
K37	VAL=4.155
L37	VAL=4.466
M37	VAL=4.948
N37	VAL=5.195
O37	VAL=5.951
P37	VAL=6.279
Q37	VAL=6.663
R37	VAL='-'
S37	VAL='-'
C38	VAL='회사채A-'
D38	VAL=3.395
E38	VAL=3.476
F38	VAL=3.62
G38	VAL=3.718
H38	VAL=3.873
I38	VAL=4.127
J38	VAL=4.305
K38	VAL=4.6
L38	VAL=4.973
M38	VAL=5.548
N38	VAL=5.736
O38	VAL=6.464
P38	VAL=6.787
Q38	VAL=7.213
R38	VAL='-'
S38	VAL='-'
B39	VAL='공모무보증'
C39	VAL='회사채BBB+'
D39	VAL=3.753
E39	VAL=4.183
F39	VAL=4.605
G39	VAL=4.812
H39	VAL=5.379
I39	VAL=6.165
J39	VAL=6.517
K39	VAL=6.914
L39	VAL=7.176
M39	VAL=7.436
N39	VAL=7.525
O39	VAL=7.935
P39	VAL=8.216
Q39	VAL=8.593
R39	VAL='-'
S39	VAL='-'
C40	VAL='회사채BBB0'
D40	VAL=4.133
E40	VAL=4.683
F40	VAL=5.185
G40	VAL=5.482
H40	VAL=6.189
I40	VAL=7.105
J40	VAL=7.547
K40	VAL=7.96
L40	VAL=8.221
M40	VAL=8.485
N40	VAL=8.58
O40	VAL=9.043
P40	VAL=9.346
Q40	VAL=9.763
R40	VAL='-'
S40	VAL='-'
C41	VAL='회사채BBB-'
D41	VAL=4.808
E41	VAL=5.478
F41	VAL=6.12
G41	VAL=6.482
H41	VAL=7.314
I41	VAL=8.27
J41	VAL=8.779
K41	VAL=9.327
L41	VAL=9.645
M41	VAL=9.905
N41	VAL=9.994
O41	VAL=10.468
P41	VAL=10.766
Q41	VAL=11.193
R41	VAL='-'
S41	VAL='-'
C42	VAL='회사채BB+'
D42	VAL=6.283
E42	VAL=7.043
F42	VAL=7.718
G42	VAL=8.216
H42	VAL=9.011
I42	VAL=10.01
J42	VAL=10.591
K42	VAL=11.283
L42	VAL=11.837
M42	VAL=12.207
N42	VAL=12.617
O42	VAL=13.031
P42	VAL=13.376
Q42	VAL=13.874
R42	VAL='-'
S42	VAL='-'
C43	VAL='회사채BB0'
D43	VAL=6.993
E43	VAL=7.786
F43	VAL=8.489
G43	VAL=9.011
H43	VAL=9.846
I43	VAL=10.878
J43	VAL=11.486
K43	VAL=12.203
L43	VAL=12.797
M43	VAL=13.2
N43	VAL=13.661
O43	VAL=14.133
P43	VAL=14.545
Q43	VAL=15.092
R43	VAL='-'
S43	VAL='-'
C44	VAL='회사채BB-'
D44	VAL=7.532
E44	VAL=8.332
F44	VAL=9.041
G44	VAL=9.568
H44	VAL=10.413
I44	VAL=11.452
J44	VAL=12.067
K44	VAL=12.788
L44	VAL=13.391
M44	VAL=13.801
N44	VAL=14.274
O44	VAL=14.759
P44	VAL=15.186
Q44	VAL=15.744
R44	VAL='-'
S44	VAL='-'
C45	VAL='회사채B+'
D45	VAL=8.58
E45	VAL=9.477
F45	VAL=10.268
G45	VAL=10.866
H45	VAL=11.828
I45	VAL=12.964
J45	VAL=13.661
K45	VAL=14.453
L45	VAL=15.174
M45	VAL=15.681
N45	VAL=16.307
O45	VAL=16.959
P45	VAL=17.585
Q45	VAL=18.287
R45	VAL='-'
S45	VAL='-'
A46	VAL='회사채'
C46	VAL='회사채B0'
D46	VAL=11.31
E46	VAL=12.296
F46	VAL=13.162
G46	VAL=13.826
H46	VAL=14.897
I46	VAL=16.122
J46	VAL=16.894
K46	VAL=17.752
L46	VAL=18.583
M46	VAL=19.179
N46	VAL=19.946
O46	VAL=20.754
P46	VAL=21.564
Q46	VAL=22.399
R46	VAL='-'
S46	VAL='-'
C47	VAL='회사채B-'
D47	VAL=11.662
E47	VAL=12.732
F47	VAL=13.669
G47	VAL=14.394
H47	VAL=15.569
I47	VAL=16.878
J47	VAL=17.721
K47	VAL=18.64
L47	VAL=19.573
M47	VAL=20.253
N47	VAL=21.152
O47	VAL=22.107
P47	VAL=23.089
Q47	VAL=24.05
R47	VAL='-'
S47	VAL='-'
C48	VAL='회사채AAA'
D48	VAL=3.049
E48	VAL=3.119
F48	VAL=3.158
G48	VAL=3.215
H48	VAL=3.246
I48	VAL=3.388
J48	VAL=3.456
K48	VAL=3.577
L48	VAL=3.686
M48	VAL=3.884
N48	VAL=3.996
O48	VAL=4.318
P48	VAL=4.529
Q48	VAL=4.783
R48	VAL='-'
S48	VAL='-'
C49	VAL='회사채AA+'
D49	VAL=3.141
E49	VAL=3.211
F49	VAL=3.259
G49	VAL=3.306
H49	VAL=3.349
I49	VAL=3.497
J49	VAL=3.565
K49	VAL=3.704
L49	VAL=3.798
M49	VAL=3.973
N49	VAL=4.128
O49	VAL=4.641
P49	VAL=4.922
Q49	VAL=5.197
R49	VAL='-'
S49	VAL='-'
C50	VAL='회사채AA0'
D50	VAL=3.174
E50	VAL=3.239
F50	VAL=3.283
G50	VAL=3.342
H50	VAL=3.382
I50	VAL=3.526
J50	VAL=3.598
K50	VAL=3.743
L50	VAL=3.842
M50	VAL=4.051
N50	VAL=4.233
O50	VAL=4.99
P50	VAL=5.501
Q50	VAL=5.786
R50	VAL='-'
S50	VAL='-'
C51	VAL='회사채AA-'
D51	VAL=3.206
E51	VAL=3.278
F51	VAL=3.336
G51	VAL=3.397
H51	VAL=3.434
I51	VAL=3.593
J51	VAL=3.662
K51	VAL=3.811
L51	VAL=3.939
M51	VAL=4.18
N51	VAL=4.474
O51	VAL=5.39
P51	VAL=5.994
Q51	VAL=6.358
R51	VAL='-'
S51	VAL='-'
C52	VAL='회사채A+'
D52	VAL=3.273
E52	VAL=3.337
F52	VAL=3.459
G52	VAL=3.566
H52	VAL=3.708
I52	VAL=3.943
J52	VAL=4.059
K52	VAL=4.258
L52	VAL=4.515
M52	VAL=4.921
N52	VAL=5.211
O52	VAL=5.997
P52	VAL=6.42
Q52	VAL=6.822
R52	VAL='-'
S52	VAL='-'
C53	VAL='회사채A0'
D53	VAL=3.387
E53	VAL=3.468
F53	VAL=3.612
G53	VAL=3.724
H53	VAL=3.884
I53	VAL=4.121
J53	VAL=4.265
K53	VAL=4.529
L53	VAL=4.871
M53	VAL=5.379
N53	VAL=5.666
O53	VAL=6.467
P53	VAL=6.847
Q53	VAL=7.269
R53	VAL='-'
S53	VAL='-'
B54	VAL='사모무보증'
C54	VAL='회사채A-'
D54	VAL=3.616
E54	VAL=3.723
F54	VAL=3.888
G54	VAL=4.005
H54	VAL=4.191
I54	VAL=4.471
J54	VAL=4.67
K54	VAL=4.984
L54	VAL=5.388
M54	VAL=5.989
N54	VAL=6.217
O54	VAL=6.99
P54	VAL=7.365
Q54	VAL=7.829
R54	VAL='-'
S54	VAL='-'
C55	VAL='회사채BBB+'
D55	VAL=4.006
E55	VAL=4.464
F55	VAL=4.909
G55	VAL=5.136
H55	VAL=5.736
I55	VAL=6.55
J55	VAL=6.925
K55	VAL=7.342
L55	VAL=7.637
M55	VAL=7.925
N55	VAL=8.057
O55	VAL=8.515
P55	VAL=8.852
Q55	VAL=9.27
R55	VAL='-'
S55	VAL='-'
C56	VAL='회사채BBB0'
D56	VAL=4.406
E56	VAL=4.984
F56	VAL=5.509
G56	VAL=5.826
H56	VAL=6.566
I56	VAL=7.51
J56	VAL=7.975
K56	VAL=8.408
L56	VAL=8.702
M56	VAL=8.994
N56	VAL=9.132
O56	VAL=9.643
P56	VAL=10.002
Q56	VAL=10.46
R56	VAL='-'
S56	VAL='-'
C57	VAL='회사채BBB-'
D57	VAL=5.621
E57	VAL=6.319
F57	VAL=6.984
G57	VAL=7.366
H57	VAL=8.231
I57	VAL=9.215
J57	VAL=9.747
K57	VAL=10.315
L57	VAL=10.666
M57	VAL=10.954
N57	VAL=11.086
O57	VAL=11.608
P57	VAL=11.962
Q57	VAL=12.43
R57	VAL='-'
S57	VAL='-'
C58	VAL='회사채BB+'
D58	VAL=7.096
E58	VAL=7.884
F58	VAL=8.582
G58	VAL=9.1
H58	VAL=9.928
I58	VAL=10.955
J58	VAL=11.559
K58	VAL=12.271
L58	VAL=12.858
M58	VAL=13.256
N58	VAL=13.709
O58	VAL=14.171
P58	VAL=14.572
Q58	VAL=15.111
R58	VAL='-'
S58	VAL='-'
C59	VAL='회사채BB0'
D59	VAL=7.806
E59	VAL=8.627
F59	VAL=9.353
G59	VAL=9.895
H59	VAL=10.763
I59	VAL=11.823
J59	VAL=12.454
K59	VAL=13.191
L59	VAL=13.818
M59	VAL=14.249
N59	VAL=14.753
O59	VAL=15.273
P59	VAL=15.741
Q59	VAL=16.329
R59	VAL='-'
S59	VAL='-'
C60	VAL='회사채BB-'
D60	VAL=8.345
E60	VAL=9.173
F60	VAL=9.905
G60	VAL=10.452
H60	VAL=11.33
I60	VAL=12.397
J60	VAL=13.035
K60	VAL=13.776
L60	VAL=14.412
M60	VAL=14.85
N60	VAL=15.366
O60	VAL=15.899
P60	VAL=16.382
Q60	VAL=16.981
R60	VAL='-'
S60	VAL='-'
C61	VAL='B+'
C62	VAL='B0'
C63	VAL='B-'
